platform,note_id,comment_id,author,comment_text,likes,publish_time,scrape_date
xiaohongshu,69fee543000000002202bb05,69fee543000000002202bb05_c001,家长G,济南哪里？,1,05-24山东,2026-09-15
xiaohongshu,69fee543000000002202bb05,69fee543000000002202bb05_c002,恐龙童成儿童成长中心,在奥体中心、全运村。,1,05-24山东,2026-09-15
xiaohongshu,69fee543000000002202bb05,69fee543000000002202bb05_c003,家长H,你好，老师，接赞助吗,3,05-11河北,2026-09-15
xiaohongshu,6a068d7a00000000350229b4,6a068d7a00000000350229b4_c004,家长I,这哪家啊,1,05-29山东,2026-09-15
xiaohongshu,6a068d7a00000000350229b4,6a068d7a00000000350229b4_c005,lucky,历城区的wutongtuoguan,,06-02山东,2026-09-15
xiaohongshu,6a068d7a00000000350229b4,6a068d7a00000000350229b4_c006,家长J,我也在找托管，前两天试岗两天没有钱，发现太多隐形工作，早上十点到晚上九点，就休息一个小时左右，其他时间都在忙，马上跑路了,2,05-14山东,2026-09-15
xiaohongshu,6a068d7a00000000350229b4,6a068d7a00000000350229b4_c007,lucky,真得抓紧跑路，甚至我去的这个都没说试岗期的事儿,,05-14山东,2026-09-15
xiaohongshu,6a068d7a00000000350229b4,6a068d7a00000000350229b4_c008,家长K,打举报电话啊一举报一个准,1,05-14山东,2026-09-15
xiaohongshu,6a068d7a00000000350229b4,6a068d7a00000000350229b4_c009,lucky,没用，尝试过了人家根本不怕，而且还没毕业的应届毕业生不管,,05-14山东,2026-09-15
xiaohongshu,6a068d7a00000000350229b4,6a068d7a00000000350229b4_c010,家长L,都这样而且还有干三天不行就走一分钱没有的，美其名曰三天试用期，后来去了另一个我才知道人家试用期也有工资,3,05-14山东,2026-09-15
xiaohongshu,6a068d7a00000000350229b4,6a068d7a00000000350229b4_c011,lucky,法律规定试用期就应该有工资的，但是拿他们没办法,,05-14山东,2026-09-15
xiaohongshu,6a068d7a00000000350229b4,6a068d7a00000000350229b4_c012,家长I,这好像是萌芽吧,,05-29山东,2026-09-15
xiaohongshu,6a068d7a00000000350229b4,6a068d7a00000000350229b4_c013,家长M,哪家呀,,05-15山东,2026-09-15
xiaohongshu,6a068d7a00000000350229b4,6a068d7a00000000350229b4_c014,家长N,避雷吧，我之前还好，当时试岗三天没工资,,06-04山东,2026-09-15
xiaohongshu,6a068d7a00000000350229b4,6a068d7a00000000350229b4_c015,家长O,有没有奥体中路这边想干托管的我要离职 找个人接替我 招不到人老板不让走,,09-04山东,2026-09-15
